m,horizon,n_runs,lambda_E,lambda_ent,d1,d2,objective_mean,objective_std,total_mean,total_std,H_mean,H_std,E_mean,E_std
5000,80,10,10,0.5,2,100,0.46593625,0.00104085,0.46593625,0.00104085,0.37250975,0.00093558,0.09342650,0.00033345
5000,80,10,10,0.5,2,150,0.44041800,0.00088390,0.44041800,0.00088390,0.37651725,0.00090164,0.06390075,0.00022753
5000,80,10,10,0.5,2,200,0.42514375,0.00075908,0.42514375,0.00075908,0.37953650,0.00086261,0.04560725,0.00037020
5000,80,10,10,0.5,2,300,0.40778300,0.00097771,0.40778300,0.00097771,0.38347200,0.00088785,0.02431100,0.00030876
5000,80,10,10,0.5,2,400,0.39901325,0.00147618,0.39901325,0.00147618,0.38566175,0.00147747,0.01335150,0.00027748
5000,80,10,10,0.5,2,600,0.39037900,0.00073580,0.39037900,0.00073580,0.38620025,0.00074944,0.00417875,0.00016022
5000,80,10,10,0.5,2,800,0.38865300,0.00111780,0.38865300,0.00111780,0.38734000,0.00112613,0.00131300,0.00005574
5000,80,10,10,0.5,2,1000,0.38770925,0.00085604,0.38770925,0.00085604,0.38731600,0.00087750,0.00039325,0.00003704
5000,80,10,10,0.5,2,1500,0.38783600,0.00105591,0.38783600,0.00105591,0.38780825,0.00105404,0.00002775,0.00000712
5000,80,10,10,0.5,2,2500,0.38747975,0.00111620,0.38747975,0.00111620,0.38747925,0.00111624,0.00000050,0.00000105
5000,80,10,10,0.5,2,4000,0.38709950,0.00082297,0.38709950,0.00082297,0.38709950,0.00082297,0.00000000,0.00000000
5000,80,10,10,0.5,2,7000,0.38773125,0.00096555,0.38773125,0.00096555,0.38773125,0.00096555,0.00000000,0.00000000
5000,80,10,10,0.5,2,10000,0.38716250,0.00074010,0.38716250,0.00074010,0.38716225,0.00074032,0.00000025,0.00000079
5000,80,10,10,0.5,3,100,0.41189600,0.00073384,0.41189600,0.00073384,0.33349500,0.00071506,0.07840100,0.00058565
5000,80,10,10,0.5,3,150,0.39031425,0.00104625,0.39031425,0.00104625,0.33889900,0.00107159,0.05141525,0.00054718
5000,80,10,10,0.5,3,200,0.37714450,0.00109706,0.37714450,0.00109706,0.34227225,0.00101246,0.03487225,0.00039435
5000,80,10,10,0.5,3,300,0.36290200,0.00073638,0.36290200,0.00073638,0.34562425,0.00064802,0.01727775,0.00029180
5000,80,10,10,0.5,3,400,0.35633075,0.00111607,0.35633075,0.00111607,0.34762575,0.00098793,0.00870500,0.00020596
5000,80,10,10,0.5,3,600,0.35107050,0.00091690,0.35107050,0.00091690,0.34887650,0.00091596,0.00219400,0.00006960
5000,80,10,10,0.5,3,800,0.34961175,0.00061425,0.34961175,0.00061425,0.34903800,0.00060861,0.00057375,0.00003467
5000,80,10,10,0.5,3,1000,0.34932900,0.00064362,0.34932900,0.00064362,0.34917625,0.00064430,0.00015275,0.00001835
5000,80,10,10,0.5,3,1500,0.34888650,0.00111690,0.34888650,0.00111690,0.34888000,0.00111809,0.00000650,0.00000474
5000,80,10,10,0.5,3,2500,0.34911550,0.00109457,0.34911550,0.00109457,0.34911500,0.00109455,0.00000050,0.00000105
5000,80,10,10,0.5,3,4000,0.34917600,0.00074603,0.34917600,0.00074603,0.34917600,0.00074603,0.00000000,0.00000000
5000,80,10,10,0.5,3,7000,0.34923725,0.00120316,0.34923725,0.00120316,0.34923725,0.00120316,0.00000000,0.00000000
5000,80,10,10,0.5,3,10000,0.34944550,0.00091125,0.34944550,0.00091125,0.34944550,0.00091125,0.00000000,0.00000000
5000,80,10,10,0.5,4,100,0.36941975,0.00113093,0.36941975,0.00113093,0.30236150,0.00107386,0.06705825,0.00054889
5000,80,10,10,0.5,4,150,0.35100425,0.00124483,0.35100425,0.00124483,0.30820050,0.00107251,0.04280375,0.00036052
5000,80,10,10,0.5,4,200,0.33959400,0.00107888,0.33959400,0.00107888,0.31147850,0.00102668,0.02811550,0.00020916
5000,80,10,10,0.5,4,300,0.32831500,0.00081266,0.32831500,0.00081266,0.31547900,0.00074901,0.01283600,0.00018654
5000,80,10,10,0.5,4,400,0.32242850,0.00100187,0.32242850,0.00100187,0.31653250,0.00103588,0.00589600,0.00015336
5000,80,10,10,0.5,4,600,0.32009400,0.00138684,0.32009400,0.00138684,0.31880900,0.00138291,0.00128500,0.00004094
5000,80,10,10,0.5,4,800,0.31822525,0.00096249,0.31822525,0.00096249,0.31793625,0.00097369,0.00028900,0.00001733
5000,80,10,10,0.5,4,1000,0.31880325,0.00077584,0.31880325,0.00077584,0.31873975,0.00078429,0.00006350,0.00001537
5000,80,10,10,0.5,4,1500,0.31818700,0.00071861,0.31818700,0.00071861,0.31818475,0.00071825,0.00000225,0.00000219
5000,80,10,10,0.5,4,2500,0.31793300,0.00067513,0.31793300,0.00067513,0.31793250,0.00067510,0.00000050,0.00000105
5000,80,10,10,0.5,4,4000,0.31843925,0.00083719,0.31843925,0.00083719,0.31843900,0.00083721,0.00000025,0.00000079
5000,80,10,10,0.5,4,7000,0.31862300,0.00089727,0.31862300,0.00089727,0.31862300,0.00089727,0.00000000,0.00000000
5000,80,10,10,0.5,4,10000,0.31870950,0.00100291,0.31870950,0.00100291,0.31870950,0.00100291,0.00000000,0.00000000
5000,80,10,10,0.5,5,100,0.33595975,0.00086288,0.33595975,0.00086288,0.27750875,0.00106853,0.05845100,0.00053334
5000,80,10,10,0.5,5,150,0.31906650,0.00092368,0.31906650,0.00092368,0.28278575,0.00073471,0.03628075,0.00039757
5000,80,10,10,0.5,5,200,0.30910800,0.00073387,0.30910800,0.00073387,0.28578075,0.00079712,0.02332725,0.00025902
5000,80,10,10,0.5,5,300,0.29981025,0.00078212,0.29981025,0.00078212,0.28986150,0.00068243,0.00994875,0.00018921
5000,80,10,10,0.5,5,400,0.29546050,0.00095880,0.29546050,0.00095880,0.29123000,0.00098466,0.00423050,0.00011919
5000,80,10,10,0.5,5,600,0.29240775,0.00084242,0.29240775,0.00084242,0.29159150,0.00086675,0.00081625,0.00005885
5000,80,10,10,0.5,5,800,0.29245300,0.00087290,0.29245300,0.00087290,0.29229425,0.00087669,0.00015875,0.00002430
5000,80,10,10,0.5,5,1000,0.29207325,0.00103670,0.29207325,0.00103670,0.29204200,0.00103585,0.00003125,0.00000966
5000,80,10,10,0.5,5,1500,0.29209550,0.00099787,0.29209550,0.00099787,0.29209400,0.00099745,0.00000150,0.00000242
5000,80,10,10,0.5,5,2500,0.29197550,0.00066531,0.29197550,0.00066531,0.29197525,0.00066515,0.00000025,0.00000079
5000,80,10,10,0.5,5,4000,0.29232125,0.00122404,0.29232125,0.00122404,0.29232100,0.00122451,0.00000025,0.00000079
5000,80,10,10,0.5,5,7000,0.29242250,0.00095315,0.29242250,0.00095315,0.29242250,0.00095315,0.00000000,0.00000000
5000,80,10,10,0.5,5,10000,0.29209525,0.00124430,0.29209525,0.00124430,0.29209525,0.00124430,0.00000000,0.00000000
5000,80,10,10,0.5,6,100,0.30771825,0.00081989,0.30771825,0.00081989,0.25584525,0.00088133,0.05187300,0.00020267
5000,80,10,10,0.5,6,150,0.29274625,0.00131100,0.29274625,0.00131100,0.26156300,0.00135757,0.03118325,0.00017783
5000,80,10,10,0.5,6,200,0.28425650,0.00064996,0.28425650,0.00064996,0.26469525,0.00060670,0.01956125,0.00032242
5000,80,10,10,0.5,6,300,0.27522800,0.00081132,0.27522800,0.00081132,0.26738975,0.00080451,0.00783825,0.00014285
5000,80,10,10,0.5,6,400,0.27203300,0.00051687,0.27203300,0.00051687,0.26886925,0.00048970,0.00316375,0.00011455
5000,80,10,10,0.5,6,600,0.27027475,0.00095810,0.27027475,0.00095810,0.26974675,0.00094609,0.00052800,0.00004860
5000,80,10,10,0.5,6,800,0.27004375,0.00072682,0.27004375,0.00072682,0.26994950,0.00072149,0.00009425,0.00001375
5000,80,10,10,0.5,6,1000,0.26983850,0.00092370,0.26983850,0.00092370,0.26981975,0.00092099,0.00001875,0.00000810
5000,80,10,10,0.5,6,1500,0.27008825,0.00064885,0.27008825,0.00064885,0.27008650,0.00064923,0.00000175,0.00000265
5000,80,10,10,0.5,6,2500,0.26945125,0.00095000,0.26945125,0.00095000,0.26945050,0.00094931,0.00000075,0.00000121
5000,80,10,10,0.5,6,4000,0.26992100,0.00111965,0.26992100,0.00111965,0.26992100,0.00111965,0.00000000,0.00000000
5000,80,10,10,0.5,6,7000,0.26965250,0.00066165,0.26965250,0.00066165,0.26965250,0.00066165,0.00000000,0.00000000
5000,80,10,10,0.5,6,10000,0.26973350,0.00087518,0.26973350,0.00087518,0.26973350,0.00087518,0.00000000,0.00000000
5000,80,10,10,0.5,8,100,0.26392775,0.00055397,0.26392775,0.00055397,0.22227250,0.00045129,0.04165525,0.00039696
5000,80,10,10,0.5,8,150,0.25049650,0.00117323,0.25049650,0.00117323,0.22660525,0.00123403,0.02389125,0.00028587
5000,80,10,10,0.5,8,200,0.24387050,0.00078877,0.24387050,0.00078877,0.22940075,0.00083951,0.01446975,0.00027907
5000,80,10,10,0.5,8,300,0.23723400,0.00100868,0.23723400,0.00100868,0.23190800,0.00099694,0.00532600,0.00007490
5000,80,10,10,0.5,8,400,0.23511725,0.00100775,0.23511725,0.00100775,0.23311700,0.00104408,0.00200025,0.00007438
5000,80,10,10,0.5,8,600,0.23420775,0.00059757,0.23420775,0.00059757,0.23393150,0.00060981,0.00027625,0.00003281
5000,80,10,10,0.5,8,800,0.23348900,0.00097407,0.23348900,0.00097407,0.23343275,0.00097334,0.00005625,0.00001094
5000,80,10,10,0.5,8,1000,0.23343350,0.00125953,0.23343350,0.00125953,0.23342600,0.00126138,0.00000750,0.00000540
5000,80,10,10,0.5,8,1500,0.23353525,0.00091254,0.23353525,0.00091254,0.23353425,0.00091278,0.00000100,0.00000129
5000,80,10,10,0.5,8,2500,0.23396425,0.00097592,0.23396425,0.00097592,0.23396425,0.00097592,0.00000000,0.00000000
5000,80,10,10,0.5,8,4000,0.23363575,0.00101855,0.23363575,0.00101855,0.23363575,0.00101855,0.00000000,0.00000000
5000,80,10,10,0.5,8,7000,0.23367350,0.00094791,0.23367350,0.00094791,0.23367350,0.00094791,0.00000000,0.00000000
5000,80,10,10,0.5,8,10000,0.23392950,0.00053288,0.23392950,0.00053288,0.23392950,0.00053288,0.00000000,0.00000000
5000,80,10,10,0.5,10,100,0.22950000,0.00085774,0.22950000,0.00085774,0.19490275,0.00073250,0.03459725,0.00023510
5000,80,10,10,0.5,10,150,0.21942350,0.00076421,0.21942350,0.00076421,0.20005500,0.00073051,0.01936850,0.00042184
5000,80,10,10,0.5,10,200,0.21329675,0.00077848,0.21329675,0.00077848,0.20220575,0.00077463,0.01109100,0.00016250
5000,80,10,10,0.5,10,300,0.20808725,0.00100034,0.20808725,0.00100034,0.20422000,0.00097153,0.00386725,0.00011048
5000,80,10,10,0.5,10,400,0.20661100,0.00104553,0.20661100,0.00104553,0.20524875,0.00108420,0.00136225,0.00007560
5000,80,10,10,0.5,10,600,0.20581025,0.00108386,0.20581025,0.00108386,0.20563550,0.00107462,0.00017475,0.00002311
5000,80,10,10,0.5,10,800,0.20521450,0.00053587,0.20521450,0.00053587,0.20518800,0.00053528,0.00002650,0.00000555
5000,80,10,10,0.5,10,1000,0.20537225,0.00067875,0.20537225,0.00067875,0.20536575,0.00067860,0.00000650,0.00000376
5000,80,10,10,0.5,10,1500,0.20549750,0.00075923,0.20549750,0.00075923,0.20549600,0.00075945,0.00000150,0.00000175
5000,80,10,10,0.5,10,2500,0.20592825,0.00034391,0.20592825,0.00034391,0.20592825,0.00034391,0.00000000,0.00000000
5000,80,10,10,0.5,10,4000,0.20615475,0.00088973,0.20615475,0.00088973,0.20615400,0.00088972,0.00000075,0.00000121
5000,80,10,10,0.5,10,7000,0.20527800,0.00110198,0.20527800,0.00110198,0.20527800,0.00110198,0.00000000,0.00000000
5000,80,10,10,0.5,10,10000,0.20528900,0.00074114,0.20528900,0.00074114,0.20528900,0.00074114,0.00000000,0.00000000
5000,80,10,10,0.5,12,100,0.20331075,0.00055498,0.20331075,0.00055498,0.17404050,0.00070098,0.02927025,0.00038873
5000,80,10,10,0.5,12,150,0.19394250,0.00081529,0.19394250,0.00081529,0.17783475,0.00089558,0.01610775,0.00023715
5000,80,10,10,0.5,12,200,0.18891675,0.00054273,0.18891675,0.00054273,0.17995075,0.00058809,0.00896600,0.00016819
5000,80,10,10,0.5,12,300,0.18464000,0.00061915,0.18464000,0.00061915,0.18178275,0.00060583,0.00285725,0.00009418
5000,80,10,10,0.5,12,400,0.18410850,0.00064848,0.18410850,0.00064848,0.18314500,0.00063253,0.00096350,0.00004399
5000,80,10,10,0.5,12,600,0.18320725,0.00055373,0.18320725,0.00055373,0.18309875,0.00056169,0.00010850,0.00002240
5000,80,10,10,0.5,12,800,0.18276775,0.00068592,0.18276775,0.00068592,0.18274875,0.00068588,0.00001900,0.00000756
5000,80,10,10,0.5,12,1000,0.18259150,0.00057033,0.18259150,0.00057033,0.18258725,0.00056879,0.00000425,0.00000313
5000,80,10,10,0.5,12,1500,0.18262700,0.00067327,0.18262700,0.00067327,0.18262525,0.00067292,0.00000175,0.00000237
5000,80,10,10,0.5,12,2500,0.18297075,0.00057130,0.18297075,0.00057130,0.18297050,0.00057115,0.00000025,0.00000079
5000,80,10,10,0.5,12,4000,0.18275075,0.00085975,0.18275075,0.00085975,0.18275075,0.00085975,0.00000000,0.00000000
5000,80,10,10,0.5,12,7000,0.18278950,0.00099820,0.18278950,0.00099820,0.18278925,0.00099806,0.00000025,0.00000079
5000,80,10,10,0.5,12,10000,0.18277600,0.00106171,0.18277600,0.00106171,0.18277600,0.00106171,0.00000000,0.00000000
5000,80,10,10,0.5,15,100,0.17228325,0.00062345,0.17228325,0.00062345,0.14868925,0.00057212,0.02359400,0.00035620
5000,80,10,10,0.5,15,150,0.16483450,0.00079767,0.16483450,0.00079767,0.15220425,0.00070246,0.01263025,0.00021844
5000,80,10,10,0.5,15,200,0.16129375,0.00058670,0.16129375,0.00058670,0.15450900,0.00048202,0.00678475,0.00016864
5000,80,10,10,0.5,15,300,0.15752300,0.00062947,0.15752300,0.00062947,0.15546750,0.00060612,0.00205550,0.00007761
5000,80,10,10,0.5,15,400,0.15633350,0.00090169,0.15633350,0.00090169,0.15571450,0.00087692,0.00061900,0.00005101
5000,80,10,10,0.5,15,600,0.15650800,0.00095639,0.15650800,0.00095639,0.15644075,0.00095938,0.00006725,0.00001003
5000,80,10,10,0.5,15,800,0.15566675,0.00064784,0.15566675,0.00064784,0.15565275,0.00064779,0.00001400,0.00000648
5000,80,10,10,0.5,15,1000,0.15581250,0.00079338,0.15581250,0.00079338,0.15580825,0.00079359,0.00000425,0.00000313
5000,80,10,10,0.5,15,1500,0.15575775,0.00046546,0.15575775,0.00046546,0.15575700,0.00046532,0.00000075,0.00000121
5000,80,10,10,0.5,15,2500,0.15602625,0.00099009,0.15602625,0.00099009,0.15602625,0.00099009,0.00000000,0.00000000
5000,80,10,10,0.5,15,4000,0.15602000,0.00064673,0.15602000,0.00064673,0.15602000,0.00064673,0.00000000,0.00000000
5000,80,10,10,0.5,15,7000,0.15608625,0.00066648,0.15608625,0.00066648,0.15608600,0.00066632,0.00000025,0.00000079
5000,80,10,10,0.5,15,10000,0.15583650,0.00077571,0.15583650,0.00077571,0.15583650,0.00077571,0.00000000,0.00000000
5000,80,10,10,0.5,20,100,0.13503475,0.00058484,0.13503475,0.00058484,0.11750700,0.00044635,0.01752775,0.00030483
5000,80,10,10,0.5,20,150,0.12955425,0.00062302,0.12955425,0.00062302,0.12061800,0.00072467,0.00893625,0.00021336
5000,80,10,10,0.5,20,200,0.12682275,0.00066934,0.12682275,0.00066934,0.12215825,0.00071362,0.00466450,0.00012699
5000,80,10,10,0.5,20,300,0.12465950,0.00039789,0.12465950,0.00039789,0.12334125,0.00040269,0.00131825,0.00004057
5000,80,10,10,0.5,20,400,0.12354475,0.00060177,0.12354475,0.00060177,0.12317125,0.00060049,0.00037350,0.00003484
5000,80,10,10,0.5,20,600,0.12357275,0.00073516,0.12357275,0.00073516,0.12352825,0.00073696,0.00004450,0.00000970
5000,80,10,10,0.5,20,800,0.12329025,0.00076108,0.12329025,0.00076108,0.12328125,0.00076189,0.00000900,0.00000516
5000,80,10,10,0.5,20,1000,0.12338975,0.00041399,0.12338975,0.00041399,0.12338600,0.00041307,0.00000375,0.00000339
5000,80,10,10,0.5,20,1500,0.12333175,0.00048925,0.12333175,0.00048925,0.12333050,0.00048872,0.00000125,0.00000177
5000,80,10,10,0.5,20,2500,0.12358175,0.00078390,0.12358175,0.00078390,0.12358150,0.00078340,0.00000025,0.00000079
5000,80,10,10,0.5,20,4000,0.12375925,0.00075576,0.12375925,0.00075576,0.12375925,0.00075576,0.00000000,0.00000000
5000,80,10,10,0.5,20,7000,0.12341525,0.00053204,0.12341525,0.00053204,0.12341525,0.00053204,0.00000000,0.00000000
5000,80,10,10,0.5,20,10000,0.12361025,0.00057713,0.12361025,0.00057713,0.12361000,0.00057736,0.00000025,0.00000079
5000,80,10,10,0.5,30,100,0.09053350,0.00051157,0.09053350,0.00051157,0.07968200,0.00054860,0.01085150,0.00016595
5000,80,10,10,0.5,30,150,0.08645000,0.00046686,0.08645000,0.00046686,0.08123775,0.00043354,0.00521225,0.00015005
5000,80,10,10,0.5,30,200,0.08446200,0.00067175,0.08446200,0.00067175,0.08188500,0.00066932,0.00257700,0.00008278
5000,80,10,10,0.5,30,300,0.08333225,0.00071716,0.08333225,0.00071716,0.08269500,0.00073713,0.00063725,0.00004102
5000,80,10,10,0.5,30,400,0.08284375,0.00045820,0.08284375,0.00045820,0.08266550,0.00044995,0.00017825,0.00001509
5000,80,10,10,0.5,30,600,0.08295575,0.00077942,0.08295575,0.00077942,0.08293500,0.00077926,0.00002075,0.00000613
5000,80,10,10,0.5,30,800,0.08245175,0.00052098,0.08245175,0.00052098,0.08244375,0.00052176,0.00000800,0.00000685
5000,80,10,10,0.5,30,1000,0.08234450,0.00037339,0.08234450,0.00037339,0.08234100,0.00037499,0.00000350,0.00000242
5000,80,10,10,0.5,30,1500,0.08316475,0.00109538,0.08316475,0.00109538,0.08316425,0.00109524,0.00000050,0.00000105
5000,80,10,10,0.5,30,2500,0.08318125,0.00067490,0.08318125,0.00067490,0.08318100,0.00067465,0.00000025,0.00000079
5000,80,10,10,0.5,30,4000,0.08284775,0.00072191,0.08284775,0.00072191,0.08284775,0.00072191,0.00000000,0.00000000
5000,80,10,10,0.5,30,7000,0.08276750,0.00066436,0.08276750,0.00066436,0.08276750,0.00066436,0.00000000,0.00000000
5000,80,10,10,0.5,30,10000,0.08264350,0.00052825,0.08264350,0.00052825,0.08264350,0.00052825,0.00000000,0.00000000
5000,80,10,10,0.5,40,100,0.06376275,0.00029605,0.06376275,0.00029605,0.05638050,0.00041143,0.00738225,0.00019413
5000,80,10,10,0.5,40,150,0.06077575,0.00046503,0.06077575,0.00046503,0.05732125,0.00048298,0.00345450,0.00004807
5000,80,10,10,0.5,40,200,0.05965750,0.00080906,0.05965750,0.00080906,0.05800400,0.00081947,0.00165350,0.00008916
5000,80,10,10,0.5,40,300,0.05870775,0.00032240,0.05870775,0.00032240,0.05830175,0.00033173,0.00040600,0.00003143
5000,80,10,10,0.5,40,400,0.05869625,0.00056272,0.05869625,0.00056272,0.05858975,0.00055679,0.00010650,0.00001729
5000,80,10,10,0.5,40,600,0.05880650,0.00052318,0.05880650,0.00052318,0.05879350,0.00052079,0.00001300,0.00000734
5000,80,10,10,0.5,40,800,0.05851850,0.00051424,0.05851850,0.00051424,0.05851375,0.00051509,0.00000475,0.00000416
5000,80,10,10,0.5,40,1000,0.05884625,0.00068413,0.05884625,0.00068413,0.05884175,0.00068376,0.00000450,0.00000350
5000,80,10,10,0.5,40,1500,0.05859750,0.00049106,0.05859750,0.00049106,0.05859625,0.00049120,0.00000125,0.00000132
5000,80,10,10,0.5,40,2500,0.05856025,0.00053861,0.05856025,0.00053861,0.05856000,0.00053887,0.00000025,0.00000079
5000,80,10,10,0.5,40,4000,0.05861100,0.00056030,0.05861100,0.00056030,0.05861100,0.00056030,0.00000000,0.00000000
5000,80,10,10,0.5,40,7000,0.05866400,0.00037902,0.05866400,0.00037902,0.05866400,0.00037902,0.00000000,0.00000000
5000,80,10,10,0.5,40,10000,0.05869825,0.00042142,0.05869825,0.00042142,0.05869825,0.00042142,0.00000000,0.00000000
